d1_1,d1_2,d1_3
813.451,94.983,2.533
802.156,94.972,2.532
798.081,94.967,2.513
795.195,94.965,2.515
791.51,94.986,2.553
793.687,94.998,2.538
783.111,95.004,2.544
781.743,94.997,2.513
776.59,94.963,2.542
773.464,94.979,2.614
779.206,94.974,2.607
780.554,94.992,2.693
787.086,95.024,2.651
790.811,95.029,2.657
789.113,95.037,2.657
788.074,95.029,2.588
787.485,95.016,2.674
798.051,95.025,2.692
806.86,95.051,2.703
816.427,95.084,2.689
815.329,95.097,2.585
811.254,95.068,2.515
810.865,95.066,2.584
817.036,95.073,2.532
813.601,95.079,2.501
815.568,95.084,2.422
815.199,95.075,2.414
815.309,95.075,2.404
828.811,95.1,2.375
830.658,95.125,2.39
831.887,95.135,2.356
834.913,95.13,2.367
835.562,95.116,2.355
828.022,95.116,2.428
828.611,95.106,2.393
828.741,95.091,2.452
829.64,95.091,2.516
830.219,95.093,2.515
829.74,95.084,2.478
829.53,95.083,2.481
831.278,95.057,2.477
824.786,95.057,2.571
824.966,95.07,2.597
827.742,95.086,2.599
830.878,95.124,2.571
838.179,95.125,2.468
838.618,95.112,2.411
832.476,95.088,2.344
833.804,95.088,2.275
834.214,95.086,2.236
835.712,95.091,2.205
838.268,95.104,2.251
834.703,95.096,2.19
827.253,95.089,2.118
828.901,95.084,2.129
830.249,95.09,2.193
832.226,95.1,2.184
839.367,95.117,2.083
841.265,95.131,2.005
839.107,95.134,1.926
832.296,95.102,1.906
830.788,95.061,1.961
822.549,95.034,2.106
827.852,95.034,2.193
820.412,95.053,2.262
820.252,95.06,2.207
818.754,95.06,2.178
808.757,95.047,2.173
806.71,95.032,2.248
798.211,94.989,2.31
790.611,94.965,2.401
785.208,94.946,2.555
787.415,94.934,2.626
795.305,94.962,2.762
794.776,95.039,2.791
800.248,95.059,2.587
807.709,95.042,2.463
810.325,95.056,2.512
814.56,95.071,2.413
818.325,95.086,2.376
826.464,95.112,2.263
826.784,95.108,2.222
826.374,95.106,2.199
824.287,95.09,2.17
823.947,95.078,2.179
825.106,95.076,2.214
822.07,95.064,2.196
820.162,95.074,2.205
819.933,95.069,2.219
820.202,95.059,2.227
820.162,95.061,2.281
821.62,95.072,2.288
821.94,95.086,2.286
821.75,95.094,2.248
820.762,95.09,2.161
821.71,95.094,2.159
821.171,95.096,2.166
821.311,95.089,2.164
826.554,95.084,2.178
830.399,95.092,2.127
831.697,95.108,2.121
829.77,95.107,2.068
828.431,95.108,1.993
835.063,95.116,1.984
834.983,95.129,2.024
836.94,95.143,2.071
838.528,95.139,2.001
839.697,95.147,2.019
839.836,95.146,2.007
833.225,95.133,1.966
834.693,95.11,2.007
836.101,95.094,2.114
844.301,95.117,2.211
850.173,95.167,2.185
847.027,95.173,2.025
845.359,95.158,1.879
845.918,95.155,1.96
843.302,95.14,2.04
837.37,95.127,2.077
836.98,95.109,2.066
837.23,95.102,2.066
837.459,95.124,2.103
837.619,95.144,2.018
835.322,95.134,1.949
837.549,95.132,1.956
838.928,95.134,2.027
838.718,95.132,2.027
839.377,95.129,2.004
851.741,95.141,1.969
856.055,95.169,2.013
854.148,95.177,1.941
851.621,95.147,1.857
851.96,95.121,1.848
853.588,95.111,1.943
853.259,95.098,2.065
852.949,95.1,2.069
842.743,95.09,2.08
841.444,95.089,2.071
840.935,95.083,2.094
841.884,95.083,2.147
853.129,95.11,2.179
854.557,95.143,2.147
858.662,95.166,1.973
857.893,95.15,1.879
857.833,95.14,1.917
857.613,95.132,1.886
857.413,95.131,1.879
856.764,95.131,1.883
857.004,95.126,1.895
857.214,95.132,1.947
857.273,95.14,1.961
857.144,95.136,1.966
853.279,95.114,2.001
852.769,95.102,2.011
861.638,95.093,2.106
862.507,95.124,2.23
861.328,95.131,2.124
860.05,95.116,2.074
860.09,95.1,2.089
874.081,95.103,2.121
878.476,95.121,2.141
871.535,95.142,2.121
867.141,95.114,2.013
857.753,95.085,2.045
866.911,95.11,2.115
870.476,95.123,2.144
871.305,95.137,2.14
871.285,95.132,2.024
868.509,95.121,1.989
869.527,95.125,1.955
877.387,95.143,1.979
883.439,95.16,1.915
886.275,95.163,1.837
878.566,95.116,1.728
872.234,95.046,1.857
868.928,95.007,2.065
880.133,95.031,2.236
870.416,95.03,2.167
866.971,95.01,2.114
866.691,94.966,2.196
865.623,94.975,2.326
870.826,95.06,2.358
870.157,95.084,2.172
864.314,95.069,2.155
861.278,95.071,2.243
869.368,95.119,2.321
879.454,95.152,2.191
883.689,95.19,2.086
881.452,95.216,1.804
880.143,95.216,1.424
880.014,95.241,1.18
879.684,95.258,0.98
878.316,95.249,0.875
879.185,95.244,0.809
888.702,95.27,0.847
885.227,95.295,0.801
896.392,95.302,0.678
899.069,95.291,0.643
902.424,95.279,0.684
898.839,95.263,0.725
899.828,95.238,0.759
892.497,95.24,0.867
880.573,95.223,0.891
861.858,95.154,0.907
840.456,95.105,1.082
820.602,95.051,1.265
804.004,95.017,1.4
786.017,94.987,1.514
784.339,94.979,1.653
775.241,94.962,1.813
770.188,94.946,1.979
767.651,94.929,2.072
759.472,94.921,2.243
750.484,94.933,2.364
747.957,94.937,2.446
739.219,94.94,2.492
743.064,94.985,2.547
743.283,95.071,2.518
751.972,95.114,2.309
756.766,95.15,2.111
757.874,95.152,1.975
759.762,95.13,1.862
759.542,95.11,1.941
756.426,95.089,2.01
753.849,95.09,2.126
751.672,95.095,2.135
749.515,95.1,2.036
743.393,95.104,2.048
741.735,95.111,2.089
735.184,95.1,2.069
737.081,95.083,2.071
740.826,95.102,2.202
743.992,95.137,2.195
741.126,95.16,2.103
741.206,95.148,1.998
742.035,95.133,2.008
742.384,95.126,2.08
740.747,95.113,2.149
739.718,95.077,2.222
740.996,95.043,2.425
734.625,95.025,2.576
729.911,95.026,2.689
728.932,95.006,2.677
